Instance,Data Centers
AP0,Kobe: JPN / Tokyo: JPN
AP3,Kobe: JPN / Tokyo: JPN
AP4,Kobe: JPN / Tokyo: JPN
AP5,Kobe: JPN / Tokyo: JPN
AP6,Kobe: JPN / Tokyo: JPN
AP7,Kobe: JPN / Tokyo: JPN
AP8,Kobe: JPN / Tokyo: JPN
AP9,AWS Asia Pacific (Sydney) Region
AP10,Kobe: JPN / Tokyo: JPN
AP11,Kobe: JPN / Tokyo: JPN
AP12,Kobe: JPN / Tokyo: JPN
AP13,Kobe: JPN / Tokyo: JPN
AP14,AWS Asia Pacific (Sydney) Region
AP15,Kobe: JPN / Tokyo: JPN
AP16,Kobe: JPN / Tokyo: JPN
AP17,Kobe: JPN / Tokyo: JPN
AP18,Kobe: JPN / Tokyo: JPN
AP19,Kobe: JPN / Tokyo: JPN
AP20,AWS Asia Pacific (Sydney) Region
AP21,AWS Asia Pacific (Sydney) Region
AP22,AWS Asia Pacific (Sydney) Region
AP28,AWS Asia Pacific (Sydney) Region
EU7,Frankfurt: DE/ Paris: FRA
EU8,Frankfurt: DE / Paris: FRA
EU10,Frankfurt: DE / Paris: FRA
EU12,Frankfurt: DE / Paris: FRA
EU13,Frankfurt: DE / Paris: FRA
EU14,Frankfurt: DE / Paris: FRA
EU15,Frankfurt: DE / Paris: FRA
EU16,Frankfurt: DE / Paris: FRA
EU17,Frankfurt: DE / Paris: FRA
EU18,Frankfurt: DE / Paris: FRA
EU19,Frankfurt: DE / Paris: FRA
EU25,Frankfurt: DE / Paris: FRA
EU26,Frankfurt: DE / Paris: FRA
EU27,Frankfurt: DE / Paris: FRA
EU28,Frankfurt: DE / Paris: FRA
EU29,Frankfurt: DE / Paris: FRA
EU30,Frankfurt: DE / Paris: FRA
EU31,Frankfurt: DE / Paris: FRA
EU32,Frankfurt: DE / Paris: FRA
UM1,London: UK (North) / London: UK (West)
UM2,London: UK (North) / London: UK (West)
UM3,London: UK (North) / London: UK (West)
UM4,London: UK (North) / London: UK (West)
UM5,London: UK (North) / London: UK (West)
UM6,London: UK (North) / London: UK (West)
UM7,London: UK (North) / London: UK (West)
NA21,Chicago: USA / Washington DC: USA
NA32,Dallas: USA / Phoenix: USA
NA37,Dallas: USA / Phoenix: USA
NA39,Dallas: USA / Phoenix: USA
NA44,Dallas: USA / Phoenix: USA
NA45,Dallas: USA / Phoenix: USA
NA46,Chicago: USA / Washington DC: USA
NA47,Dallas: USA / Phoenix: USA
NA49,Chicago: USA / Washington DC: USA
NA52,Dallas: USA / Phoenix: USA
NA53,Dallas: USA / Phoenix: USA
NA54,Dallas: USA / Phoenix: USA
NA57,Chicago: USA / Washington DC: USA
NA58,Chicago: USA / Washington DC: USA
NA59,Dallas: USA / Phoenix: USA
NA60,Dallas: USA / Phoenix: USA
